//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0
147       0      66      1       4        1            1            0          "Mace of Frost"                     146     130         153         40            95           0                 84                380        80            15             0           0             0               0      0       1       1       1       1       0       0
148       0      66      1       4        1            1            0          "Mace of Frost Black"               146     130         153         40            95           0                 84                380        80            15             0           0             0               0      0       1       1       1       1       0       0
149       0      66      1       4        1            1            0          "Mace of Tail Fox"               146     130         153         40            95           0                 84                380        80            15             0           0             0               0      0       1       1       1       1       0       0
end

3
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        0      22      2       4        1            1            1          "Light Spear"                        42      50          63          25            56           0                 0                 0          60            70             0           0             0               0      0       1       1       1       0       0       0
1        0      0       2       4        1            1            1          "Spear"                              23      30          41          30            42           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0       0
2        0      0       2       4        1            1            1          "Dragon Lance"                       15      21          33          30            34           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0       0
3        0      0       2       4        1            1            1          "Giant Trident"                      29      35          43          25            44           0                 0                 0          90            30             0           0             0               0      0       1       1       1       0       0       0
4        0      20      2       4        1            1            1          "Serpent Spear"                      46      58          80          20            58           0                 0                 0          90            30             0           0             0               0      0       1       1       1       0       0       0
5        0      0       2       4        1            1            1          "Double Poleaxe"                     13      19          31          30            38           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0       0
6        0      0       2       4        1            1            1          "Halberd"                            19      25          35          30            40           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0       0
7        0      22      2       4        1            1            0          "Berdysh"                            37      42          54          30            54           0                 0                 0          80            50             0           0             0               0      0       1       1       1       0       0       0
8        0      22      2       4        1            1            0          "Great Scythe"                       54      71          92          25            68           0                 0                 0          90            50             0           0             0               0      0       1       1       1       0       0       0
9        0      22      2       4        1            1            0          "Bill of Balrog"                     63      76          102         25            74           0                 0                 0          80            50             0           0             0               0      0       1       1       1       0       0       0
10       0      22      2       4        1            1            0          "Dragon Spear"                       92      112         140         35            85           0                 0                 0          170           60             0           0             0               0      0       2       0       0       0       0       0
11       0      22      2       4        1            1            0          "Brova"                              147     190         226         40            90           0                 0                 0          152           25             0           0             0               0      0       2       0       1       0       0       0
12       0      22      1       4        1            1            0          "Spear of Death 3.0 [RL]"            92      112         140         35            85           0                 0                 0          170           60             0           0             0               0      0       2       0       0       0       0       0
13       0      22      1       4        1            1            0          "Lance of Steel 2.0"            	   92      112         140         35            85           0                 0                 0          170           60             0           0             0               0      0       2       0       0       0       0       0
14       0      22      1       4        1            1            0          "Spear of Abbadon"            	   92      112         140         35            85           0                 0                 0          170           60             0           0             0               0      0       2       0       0       0       0       0
15       0      22      1       4        1            1            0          "Spear of Holly"            	   92      112         140         35            85           0                 0                 0          170           60             0           0             0               0      0       2       0       0       0       0       0
16       0      22      1       4        1            1            0          "Spear of Holly Night"               92      112         140         35            85           0                 0                 0          170           60             0           0             0               0      0       2       0       0       0       0       0
17       0      22      1       4        1            1            0          "Spear of Apocalipse 2.0"            92      112         140         35            85           0                 0                 0          170           60             0           0             0               0      0       2       0       0       0       0       0
18       0    	22      1       4        1            1            0          "Spear of Snow Black"        	   92      12         140         35            85           0                 0                 0          170           60             0           0             0               0      0       2       0       0       0       0       0
end

4
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        1      24      2       3        1            1            1          "Short Bow"                          2       3           5           30            20           0                 0                 0          20            80             0           0             0               0      0       0       1       0       0       0       0
1        1      24      2       3        1            1            1          "Bow"                                8       9           13          30            24           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0       0
2        1      24      2       3        1            1            1          "Elven Bow"                          16      17          24          30            28           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0       0
3        1      24      2       3        1            1            1          "Battle Bow"                         26      28          37          30            36           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0       0
4        1      24      2       4        1            1            1          "Tiger Bow"                          40      42          52          30            43           0                 0                 0          30            100            0           0             0               0      0       0       1       0       0       0       0
5        1      24      2       4        1            1            1          "Silver Bow"                         56      59          71          40            48           0                 0                 0          30            100            0           0             0               0      0       0       1       0       0       0       0
6        1      24      2       4        1            1            1          "Chaos Nature Bow"                   75      88          106         35            68           0                 0                 0          40            150            0           0             0               0      0       0       1       0       0       0       0
7        1      0       1       1        0            0            1          "Bolt"                               0       0           0           0             255          0                 0                 0          0             0              0           0             0               0      0       0       1       0       0       0       0
8        0      24      2       2        1            1            1          "Crossbow"                           4       5           8           40            22           0                 0                 0          20            90             0           0             0               0      0       0       1       0       0       0       0
9        0      24      2       2        1            1            1          "Golden Crossbow"                    12      13          19          40            26           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0       0
10       0      24      2       2        1            1            1          "Arquebus"                           20      22          30          40            31           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0       0
11       0      24      2       3        1            1            1          "Light Crossbow"                     32      35          44          40            40           0                 0                 0          30            90             0           0             0               0      0       0       1       0       0       0       0
12       0      24      2       3        1            1            1          "Serpent Crossbow"                   48      50          61          40            45           0                 0                 0          30            100            0           0             0               0      0       0       1       0       0       0       0
13       0      24      2       3        1            1            1          "Bluewing Crossbow"                  68      68          82          40            56           0                 0                 0          40            110            0           0             0               0      0       0       1       0       0       0       0
14       0      24      2       3        1            1            1          "Aquagold Crossbow"                  72      78          92          30            60           0                 0                 0          50            130            0           0             0               0      0       0       1       0       0       0       0
15       0      0       1       1        0            0            1          "Arrow"                              0       0           0           0             255          0                 0                 0          0             0              0           0             0               0      0       0       1       0       0       0       0
16       0      24      2       4        1            1            1          "Saint Crossbow"                     84      102         127         35            72           0                 0                 0          50            160            0           0             0               0      0       0       1       0       0       0       0
17       1      24      2       4        1            1            1          "Celestial Bow"                      92      127         155         35            76           0                 0                 0          54            198            0           0             0               0      0       0       2       0       0       0       0
18       0      24      2       3        1            1            1          "Divine Crossbow of Archangel"       100     224         246         45            200          0                 0                 0          40            110            0           0             0               0      0       0       1       0       0       0       0
19       0      24      2       3        1            1            0         "Great Reign Crossbow"               100     150         172         40            80           0                 0                 0          61            285            0           0             0               0      0       0       2       0       0       0       0
20       1      24      2       4        1            1            0          "Arrow Viper Bow"                    135     166         190         45            86           0                 0                 0          52            245            0           0             0               0      0       0       2       0       0       0       0
21       1      24      2       4        1            1            0          "Sylph Wind Bow"                     147     177         200         45            93           0                 0                 380        46            210            0           0             0               0      0       0       2       0       0       0       0
22       1      24      2       4        1            1            0          "Albatross Bow"                      110     155         177         45            70           0                 0                 0          60            265            0           0             0               0      0       0       2       0       0       0       0
23       1      24      2       4        1            1            0          "Dark Stinger"                       134     162         184         45            80           0                 0                 380        32            209            0           0             0               0      0       0       2       0       0       0       0
24       1      24      2       4        1            1            0          "Aileen Bow"                         147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
35     1      24       2       4        1            1            0          "Bow of War 2.0 [RL] "              147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0      0       0
36     1      24       2       4        1            1            0          "Bow of Light Hawk [RL] "           147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
37     1      24       2       4        1            1            0          "Bow of Snow [RL] "                 147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
38     1      24       2       4        1            1            0          "Bow of Holly [RL] "                 147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
39     1      24       2       4        1            1            0          "Bow of Horus [RL] "                147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
40     1      24       2       4        1            1            0          "Bow of Blood Vampire [RL] "        147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
41     1      24       2       4        1            1            0          "Bow of Halloween [RL] "            147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
42     241    24       2       4        1            1            0          "Bow of Dark Pirate [RL] "          147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
43     1      24       2       4        1            1            0          "Bow of Manticore [RL] "            147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
44     1      24       2       4        1            1            0          "Bow of Steel 2.0 [RL] "            147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
45     1      24       2       4        1            1            0          "Bow of Gift Christmas [RL] "       147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
46     1      24       2       4        1            1            0          "Bow of Abbadon [RL] "              147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
47     1      24       2       4        1            1            0          "Bow of God 2.0 [RL] "              147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
48     1      24       2       4        1            1            0          "Bow of Ice Dragon [RL] "           147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
49     1      24       2       4        1            1            0          "Bow of Necromancer [RL] "          147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
50     1      24       2       4        1            1            0          "Bow of Cold [RL]"                  147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
51     1      24       2       4        1            1            0          "Bow of Death 3.0 [RL]"             147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
52     1      24       2       4        1            1            0          "Bow of Rabbit"             	 147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
53     1      24       2       4        1            1            0          "Bow of Holly  Night [RL] "         147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
54     1      24       2       4        1            1            0          "Bow of Apocalipse 2.0 "            147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
55     1      24       2       4        1            1            0          "Bow of Snow Black"             	 147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
56     1      24       2       4        1            1            0          "Bow of Dark Raven"             	 147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
57     1      24       2       4        1            1            0          "Bow of Frost"             	 147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
58     1      24       2       4        1            1            0          "Bow of Frost Black"             	 147     170         194         45            88           0                 0                 0          49            226            0           0             0               0      0       0       2       0       0       0       0
135	10	0	1	1	 1	      1		   0	      "Ring of Death"			   30	   100	       0	   50	         220	      1			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
136	9	0	1	1	 1	      1		   0	      "Pendant of Death"		   34	   100	       0	   50		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
137	10	0	1	1	 1	      1		   0	      "Steel Ring"			   30	   100	       0	   60		 220	      1			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
138	9	0	1	1	 1	      1		   0	      "Steel Pendant"			   34	   100	       0	   60		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
139	10	0	1	1	 1	      1		   0	      "Ring of Cup"			   30	   100	       0	   60		 220	      1			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
140	9	0	1	1	 1	      1		   0	      "Pendant of Cup"			   34	   100	       0	   60		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
141	10	0	1	1	 1	      1		   0	      "Christmas Ring"			   30	   100	       0	   40		 220	      1			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
142	9	0	1	1	 1	      1		   0	      "Christmas Pendant"		   34	   100	       0	   40		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
143	10	0	1	1	 1	      1		   0	      "Majestyc Ring"			   30	   100	       0	   20		 220	      1			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
144	9	0	1	1	 1	      1		   0	      "Majestyc Pendant"		   34	   100	       0	   20		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
145	10	0	1	1	 1	      1		   0	      "Rudolph Ring"			   30	   100	       0	   40		 220	      1			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
146	9	0	1	1	 1	      1		   0	      "Rudolph Pendant"			   34	   100	       0	   40	         220	      0			0		  0	     0 		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0  	   0
147	10	0	1	1	 1	      1		   0	      "Ring of Style"			   30	   100	       0	   50	         220	      1			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
148	9	0	1	1	 1	      1		   0	      "Pendant of Style"		   34	   100	       0	   50	         220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
149	10	0	1	1	 1	      1		   0	      "Ring of War"		           30	   100	       0	   30	         220	      1			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
150	9	0	1	1	 1	      1		   0	      "Pendant of War"			   34	   100	       0	   30	         220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
151	10	0	1	1	 1	      1		   0	      "Ring of God [RL]"		   30	   100	       0	   60	         220	      1			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
152	9	0	1	1	 1	      1		   0	      "Pendant of God [RL]"		   34	   100	       0	   60	         220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
153	10	0	1	1	 1	      1		   0	      "Ring of Angel [RL]"		   30	   100	       0	   60	         220	      1			0	          0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
154	9	0	1	1	 1	      1		   0	      "Pendant of Angel"		   34	   100	       0	   60	         220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
155	10	0	1	1	 1	      1		   0	      "xMas Ring [C][RL]"		   30	   100	       0	   60	         220	      1			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
156	9	0	1	1	 1	      1		   0	      "xMas Pendant [C][RL]"		   34	   100	       0	   60	         220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
157	10	0	1	1	 1	      1		   0	      "Ring of Black [RL]"		   30	   100	       0	   60	         220	      1			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
158	9	0	1	1	 1	      1		   0	      "Pendant of Black [RL]"		   34	   100	       0	   60	         220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
159	10	0	1	1	 1	      1		   0	      "Ring of Snow [RL]"		   30	   100	       0	   60		220	      1	                0	          0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
160	9	0	1	1	 1	      1		   0	      "Pendant of Snow [RL]"	           34	   100	       0	   60		220	      0	                0	          0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
161	10	0	1	1	 1	      1		   0	     "Ring of Majestick 2.0 [RL]"	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
162	9	0	1	1	 1	      1		   0	     "Pendant of Majestick 2.0 [RL]"	   34	   100	       0	   60		220	      0	                0	         0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
163	10	0	1	1	 1	      1		   0	      "Ring of Light Hawk [RL]"		   30	   100	       0	   60		220	      1           	0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
164	9	0	1	1	 1	      1		   0	      "Pendant of Light Hawk [RL]"	   34	   100	       0	   60		220	      0         	0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
167	10	0	1	1	 1	      1		   0	      "Ring of Apocalipse 2.0 [RL]"        30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
168	9	0	1	1	 1	      1		   0	      "Pendant of Apocalipse 2.0 [RL]"	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
169	10	0	1	1	 1	      1		   0	      "Ring of Holly [RL]"		   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
170	9	0	1	1	 1	      1		   0	      "Pendant of Holly [RL]"	           34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
171	10	0	1	1	 1	      1		   0	      "Ring of Horus [RL]"		   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
172	9	0	1	1	 1	      1		   0	      "Pendant of Horus [RL]"	           34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
173	10	0	1	1	 1	      1		   0	      "Ring of Zeus [RL]"		   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
174	9	0	1	1	 1	      1		   0	      "Pendant of Zeus [RL]"	           34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
175	10	0	1	1	 1	      1		   0	      "Ring of Dark Pirate [RL]"	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
176	9	0	1	1	 1	      1		   0	      "Pendant of Dark Pirate [RL]"	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
177	10	0	1	1	 1	      1		   0	      "Ring of Rabbit [RL]"	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
178	9	0	1	1	 1	      1		   0	      "Pendant of Rabbit [RL]"	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
179	10	0	1	1	 1	      1		   0	      "Ring of Manticore [RL]"	   	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
180	9	0	1	1	 1	      1		   0	      "Pendant of Manticore [RL]"	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
181	10	0	1	1	 1	      1		   0	      "Ring of Gift Christmas [RL]"	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
182	9	0	1	1	 1	      1		   0	      "Pendant of Gift Christmas [RL]"	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
183	10	0	1	1	 1	      1		   0	      "Ring of Abbadon [RL]"	   	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
184	9	0	1	1	 1	      1		   0	      "Pendant of Abbadon [RL]"	   	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
185	10	0	1	1	 1	      1		   0	      "Ring of God 2.0 [RL]"	   	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
186	9	0	1	1	 1	      1		   0	      "Pendant of God 2.0 [RL]"	   	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
187	10	0	1	1	 1	      1		   0	      "Ring of Ice Dragon [RL]"	   	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
188	9	0	1	1	 1	      1		   0	      "Pendant of Ice Dragon [RL]"	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
189	10	0	1	1	 1	      1		   0	      "Ring of Death 3.0 [RL]"	   	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
190	9	0	1	1	 1	      1		   0	      "Pendant of Death 3.0 [RL]"	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
191	10	0	1	1	 1	      1		   0	      "Ring of Steel 2.0"	   	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
192	9	0	1	1	 1	      1		   0	      "Pendant of Steel 2.0"	   	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
193	10	0	1	1	 1	      1		   0	      "Ring of Necromancer"	   	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
194	9	0	1	1	 1	      1		   0	      "Pendant of Necromancer"	   	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
195	10	0	1	1	 1	      1		   0	      "Ring of Cold"	   	   	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
196	9	0	1	1	 1	      1		   0	      "Pendant of Cold"	   	   	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
197	10	0	1	1	 1	      1		   0	      "Ring of Blood Vampire"	   	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
198	9	0	1	1	 1	      1		   0	      "Pendant of Blood Vampire"	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
199	10	0	1	1	 1	      1		   0	      "Ring of Holly Night"	   	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
200	9	0	1	1	 1	      1		   0	      "Pendant of Holly Night"	   	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
201	10	0	1	1	 1	      1		   0	      "Ring of Snow Black"	   	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
202	9	0	1	1	 1	      1		   0	      "Pendant of Snow Black"	   	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
203	10	0	1	1	 1	      1		   0	      "Ring of Dark Raven"	   	   30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
204	9	0	1	1	 1	      1		   0	      "Pendant of Dark Raven"	   	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
205	10	0	1	1	 1	      1		   0	      "Ring of Frost"	   	  	 30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
206	9	0	1	1	 1	      1		   0	      "Pendant of Frost"	   	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
207	10	0	1	1	 1	      1		   0	      "Ring of Frost Black"	   	  	 30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
208	9	0	1	1	 1	      1		   0	      "Pendant of Frost Black"	   	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
209	10	0	1	1	 1	      1		   0	      "Ring of Tail Fox"	   	  	 30	   100	       0	   60		220	      1	                0	         0	     0		   0		  0	      2             0		    0	   1	   1	   1	   1	   1	   0	   0
210	9	0	1	1	 1	      1		   0	      "Pendant of Tail Fox"	   	   34	   100	       0	   60		220	     0	                0	         0	     0		   0		  0	      2	            0		    0	   1	   1	   1	   1	   1	   0	   0
400	238	0	1	1	 1	      1		   0	      "Earring of Frost [Left]"		   34	   100	       0	   50		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   1	   0	   0
401	239	0	1	1	 1	      1		   0	      "Earring of Frost [Right]"		   34	   100	       0	   50		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   0	   0	   0
402	238	0	1	1	 1	      1		   0	      "Earring of Manticore [Left]"		   34	   100	       0	   50		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   0	   0	   0
403	239	0	1	1	 1	      1		   0	      "Earring of Manticore [Right]"		   34	   100	       0	   50		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   0	   0	   0
404	238	0	1	1	 1	      1		   0	      "Earring of Abbadon [Left]"		   34	   100	       0	   50		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   0	   0	   0
405	239	0	1	1	 1	      1		   0	      "Earring of Abbadon [Right]"		   34	   100	       0	   50		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   0	   0	   0
406	238	0	1	1	 1	      1		   0	      "Earring of Death 3.0 [Left]"		   34	   100	       0	   50		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   0	   0	   0
407	239	0	1	1	 1	      1		   0	      "Earring of Death 3.0 [Right]"		   34	   100	       0	   50		 220	      0			0		  0	     0		   0		  0	      2		    0		    0	   1	   1	   1	   1	   0	   0	   0
end

5
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        0      0       1       3        1            1            1          "Skull Staff"                        6       3           4           20            0            20                6                 0          40            0              0           0             0               0      1       0       0       1       0       1       0
1        0      0       2       3        1            1            1          "Angelic Staff"                      18      10          12          25            0            38                20                0          50            0              0           0             0               0      1       0       0       1       0       0       0
2        0      0       2       3        1            1            1          "Serpent Staff"                      30      17          18          25            0            50                34                0          50            0              0           0             0               0      1       0       0       1       0       0       0
